Build System,Time window,Duration
ant,entry-testStart,244
ant,testStart-testEnd,254
ant,testEnd-exit,10
ant,entry-testStart,250
ant,testStart-testEnd,252
ant,testEnd-exit,7
ant,entry-testStart,260
ant,testStart-testEnd,255
ant,testEnd-exit,8
ant,entry-testStart,268
ant,testStart-testEnd,250
ant,testEnd-exit,11
ant,entry-testStart,252
ant,testStart-testEnd,254
ant,testEnd-exit,10
ant,entry-testStart,248
ant,testStart-testEnd,250
ant,testEnd-exit,9
ant,entry-testStart,245
ant,testStart-testEnd,255
ant,testEnd-exit,9
ant,entry-testStart,249
ant,testStart-testEnd,254
ant,testEnd-exit,9
ant,entry-testStart,251
ant,testStart-testEnd,250
ant,testEnd-exit,10
ant,entry-testStart,245
ant,testStart-testEnd,254
ant,testEnd-exit,10
ant,entry-testStart,253
ant,testStart-testEnd,256
ant,testEnd-exit,9
ant,entry-testStart,246
ant,testStart-testEnd,254
ant,testEnd-exit,10
ant,entry-testStart,247
ant,testStart-testEnd,255
ant,testEnd-exit,9
ant,entry-testStart,250
ant,testStart-testEnd,252
ant,testEnd-exit,10
ant,entry-testStart,248
ant,testStart-testEnd,253
ant,testEnd-exit,8
ant,entry-testStart,243
ant,testStart-testEnd,251
ant,testEnd-exit,9
ant,entry-testStart,252
ant,testStart-testEnd,253
ant,testEnd-exit,9
ant,entry-testStart,249
ant,testStart-testEnd,250
ant,testEnd-exit,9
ant,entry-testStart,250
ant,testStart-testEnd,252
ant,testEnd-exit,9
ant,entry-testStart,247
ant,testStart-testEnd,255
ant,testEnd-exit,9
ant,entry-testStart,238
ant,testStart-testEnd,250
ant,testEnd-exit,8
ant,entry-testStart,247
ant,testStart-testEnd,251
ant,testEnd-exit,10
ant,entry-testStart,251
ant,testStart-testEnd,255
ant,testEnd-exit,9
ant,entry-testStart,248
ant,testStart-testEnd,253
ant,testEnd-exit,9
ant,entry-testStart,248
ant,testStart-testEnd,254
ant,testEnd-exit,10
ant,entry-testStart,251
ant,testStart-testEnd,254
ant,testEnd-exit,9
ant,entry-testStart,262
ant,testStart-testEnd,250
ant,testEnd-exit,6
ant,entry-testStart,244
ant,testStart-testEnd,253
ant,testEnd-exit,9
ant,entry-testStart,249
ant,testStart-testEnd,254
ant,testEnd-exit,9
ant,entry-testStart,250
ant,testStart-testEnd,253
ant,testEnd-exit,8
ant,entry-testStart,249
ant,testStart-testEnd,253
ant,testEnd-exit,8
ant,entry-testStart,260
ant,testStart-testEnd,254
ant,testEnd-exit,9
ant,entry-testStart,252
ant,testStart-testEnd,251
ant,testEnd-exit,9
ant,entry-testStart,254
ant,testStart-testEnd,252
ant,testEnd-exit,8
ant,entry-testStart,259
ant,testStart-testEnd,253
ant,testEnd-exit,8
ant,entry-testStart,252
ant,testStart-testEnd,251
ant,testEnd-exit,8
ant,entry-testStart,252
ant,testStart-testEnd,251
ant,testEnd-exit,8
ant,entry-testStart,247
ant,testStart-testEnd,252
ant,testEnd-exit,8
ant,entry-testStart,247
ant,testStart-testEnd,251
ant,testEnd-exit,9
ant,entry-testStart,262
ant,testStart-testEnd,252
ant,testEnd-exit,9
ant,entry-testStart,245
ant,testStart-testEnd,253
ant,testEnd-exit,9
ant,entry-testStart,235
ant,testStart-testEnd,253
ant,testEnd-exit,10
ant,entry-testStart,237
ant,testStart-testEnd,253
ant,testEnd-exit,8
ant,entry-testStart,246
ant,testStart-testEnd,251
ant,testEnd-exit,10
ant,entry-testStart,246
ant,testStart-testEnd,252
ant,testEnd-exit,9
ant,entry-testStart,238
ant,testStart-testEnd,254
ant,testEnd-exit,9
ant,entry-testStart,247
ant,testStart-testEnd,253
ant,testEnd-exit,7
ant,entry-testStart,243
ant,testStart-testEnd,255
ant,testEnd-exit,9
